씬,캐릭터,대사,화면 번호
1,주인공,내가 지금 일기를 쓰고 있는 이유는,1
2,//,지구인 '캐시'가 내 명상 프로그램을 망가뜨렸기 때문이야,0
3,//,명상 프로그램은 자아 실현을 도와주는 행성 SA의 독자적 프로그램이야,1
4,//,여기에 접속하면 스스로에 대해 끊임 없이 생각하게끔,
5,//,다양한 질문들과,당신은 지금 행복한가요?'라는 질문
6,//,그 질문들에 대한 다양한 대답들을 공유해줘. ,"다양한 사람들 (EX. 철학자, 옆집 주민 등)의 대답을 보여주는 화면"
7,//,지구가 멸망한 이유는,회색으로 죽어가는 지구의 모습
8,//,다른 존재에 관심이 많았기 때문이라는 소식을 듣고,
9,//,우리 행성 SA의 존재들은 모두 자기 자신에게만 집중해 ,명상 프로그램에 접속해 있는 여러 SA 행성의 존재들위에 명상 프로그램 로고가 떠있는 모습 
10,//,지구인처럼 되지 않으려고.,
11,//,그래서 우린 서로에게 전혀 관심이 없어,텅 비어 있는 SA 존재들의 눈 & 얼굴
12,//,"그런데 지금 내 명상 프로그램은 해킹당했고,",명상 프로그램에 오류가 발생한 화면
13,//,지구가 멸망한 이유는 따로 있대. ,
14,캐시,,검은 화면 
15,//,내 목소리가 들리니?,치직거리는 명상 프로그램 화면과 캐시의 모습
16,//,시간이 없으니 용건만 간단히 할게. ,
17,//,"난 마지막 지구인 캐시고, ",
18,//,"결론부터 말하면, 지구가 멸망한 진짜 이유는 따로 있어.",
19,//,그치만 지금 말하기엔 너무 시간이 없어. 잠시 뚫고 들어온 거거든.
20,//,이걸 받아. 그곳에 이걸 재생할 만한 장치가 있었으면 좋겠는데.
21,주인공,테이프에는 "별자리 찾아보기"라고 적혀 있었지.
22,캐시,지금은 상황이 이해되지 않겠지만 테이프를 보면 차차 알게 될 거야.
29,//,"지구가 멸망한 진짜 이유가 뭔지 말이야.",
30,//,"그럼: 다시 만날 때까지 안녕. ",명상 프로그램이 꺼지는 화면
31,의료 로봇,SAN-800 오류,의료 로봇들이 주인공을 살피는 모습
32,//,지원을 요청합니다. ,
33,//,아마도 어딘가 마지막 지구인 '캐시'가 이런 오류를 발생시킨 것 같습니다. ,캐시의 사진 
34,//,앞으로 당신은 2주 동안 자가 격리 대상입니다.,"창문을 통해, 의료 로봇들이 돌아가는 모습을 바라보는 주인공의 뒷모습"
35,//,격리 기간에도 부디 자아실현을 멈추지 마세요. ,검은 화면 
36,주인공,그런데 캐시의 말을 듣고부터: 밤하늘에서 별이 떨어지는 모습 (주인공이 밤하늘의 별을 구경하는 시점)
37,//,우리 행성에서 금지한 행동들을 하게 돼. ,
38,//,캐시가 알려준 것들 말야. ,캐시의 메시지 회상 장면
39,주인공,제대로 바라본 적 없는 하늘을 바라보거나. ,망원경과 함께 별을 바라보는 주인공의 뒷모습 
40,//,머릿속으로만 그려봤던 그림을 들판에서 그려보거나.,들판에서 나뭇가지로 그림을 그리는 주인공의 모습 
41,//,그린 별자리가 진짜 하늘의 별자리가 된 걸 감상하거나 ,그린 모양의 별자리가 하늘의 별자리가 되는 모습 
42,//,그리고... ,하늘에서 혜성과 같은 것이 떨어지는 모습 
43,//,별자리를 보고 찾아온 누군가를 ,누군가(캐릭터)의 실루엣
44,//,관찰하고 ,주인공 & 캐릭터가 망원경을 사이에 두고 마주보고 있는 모습 
45,//,잊지 않기 위해 ,일기장에 캐릭터에 대한 이야기를 쓰는 주인공의 손 
46,//,꾸준히 기록하는,도감을 품에 안고 있는 주인공의 모습
47,//,그런 것들...,캐릭터와 하늘을 바라보고 있는 주인공의 뒷모습  
