씬,캐릭터,대사,화면
1,주인공,캐시를 만나야겠어,망원경을 통해 본 밤하늘
2,주인공,지구가 멸망한 이유를 알아낸 것 같거든,망원경을 든 주인공의 손
3,주인공,친구들과 함께 하늘의 별을 바라보거나,캐릭터들과 주인공이 별을 보는 모습
4,주인공,친구들을 관찰하고 기록하거나,도감을 작성하는 주인공의 손
5,주인공,서로의 이름을 불러주는 건 ,캐릭터와 주인공의 반반 뒷모습
6,주인공,서로에게 특별한 존재가 되었다는 뜻이야,캐릭터와 주인공의 반반 뒷모습 + 그 사이로 별자리가 반짝이는 모습
6,,무슨 뜻이냐고?,
7,주인공,적어도 이런 건 절대 명상 프로그램에서 알려줄 수 없다는 거야,고장난 명상 프로그램의 화면
8,주인공,어쩌면 캐시가 내 명상 프로그램을 망가뜨린 이유도,고장난 명상 프로그램의 화면 + 그 사이로 얼핏 보이는 캐시의 형체
9,주인공,이걸 알려주기 위함이 아니었을까,
10,주인공,나에게 이름을...,
11,주인공,불러주기 위함이 아니었을까?,
12,주인공,내가 친구들에게 이름을 물어봤던 것처럼 말야,
13,주인공,나는 친구들과 함께 이곳을 떠날 거야,우주선으로 항햐는 주인공의 모습
14,,우주선이 고쳐졌거든,
15,주인공,다같이 이걸 타고 캐시를 만날 거야,"집 안에서 창문을 통해 보이는 주인공과 캐릭터들의 우주선, 그리고 책상 위 캐시를 그린 그림"
16,,지구가 멸망한 이유를 직접 듣고 싶거든,
17,주인공,그럼 마지막으로,하얀 화면
18,주인공,네 이름도 내게 알려주겠니?,이름을 작성하는 창
