type,name,description
허기,normal,입과 소화기관이 발달해있다. 주로 먹는 것은 갓 만들어진 뜨거운 별들의 부스러기. 배가 고파 행성 SA에 찾아오게 되었다. 먹어도 먹어도 끊임 없이 배가 고프다고 한다.
러너,normal,달팽이와 같은 껍데기를 가지고 있다. 블랙홀을 무서워하며: 무서울 때마다 껍데기 안으로 들어가 숨는다. 밝은 곳을 찾아 행성 SA에 오게 되었다. 우주 어딘가에 있는 블랙홀이 자신을 빨아들일까 무서워한다. 
홍실,normal,숨을 쉴 수 있는 기관이 도드라져 보인다. 옥색인 기체 B2에서만 숨을 쉴 수 있는 듯 하다. 기체 B2를 찾아 숨을 쉬기 위해서 행성 SA에 찾아왔다. 자주 숨을 쉬지 못해 답답한 것 같다. 
두두,normal,튜브와 같이 공중에 뜰 수 있는 기관을 갖고 있다.심장이 212F에서만 활성화된다. 따뜻한 곳을 찾아 행성 SA에 오게 되었다. 따뜻한 생명체나 행성 근처에서 유영하는 것을 좋아하는 듯 하다.
마르코 13세,normal,미끈한 피부와 혀로 보이는 기관을 가졌다. 들리는 곳마다 자취를 남기기 위해 깃발을 들고 다닌다. 새로운 것을 찾아 행성 SA에 도착했다. 새로운 것을 보면 눈이 반짝인다.  
보도롱,normal,보드라운 털로 뒤덮힌 몸통과 가루 묻은 날개를 갖고 있다.몸이 굉장히 가벼워 쉽게 두둥실 떠오른다. 나무 수액을 찾아 행성 SA에 방문했다. 나무가 있으면 오래 살 수 있다고 한다.
캐비 리안,normal,뾰족한 가시가 온몸을 뒤덮고 있다. 가시로 위협하여 소중한 것을 뺏는다. 보물을 찾기 위해 행성 SA에 찾아왔다. 가시가 자라면서 몸을 파고 들어 아파하는 것 같다.
몽실,normal,기체 알갱이와 같은 연기로 이루어져 있다. 항상 잠에 취해 있다. 우연히 행성 SA에 착륙하게 되었다. 꿈처럼 쏟아지는 별들을 감상하는 걸 좋아하는 듯하다. 
픽픽,normal,등 부분에 별 부스러기를 모아두는 유리병 같은 껍데기가 있다. 우주에서 새롭게 생긴 별 부스러기를 찾아다닌다. 새로운 별을 수집하고자 행성 SA에 찾아왔다.유리병에 살짝 금이 가 있다. 
해우,normal,피부 표면에 산호초와 따개비가 붙어 살고 있다. 지구와 비슷한 환경의 행성을 찾아다니며 바다를 찾는다. 지구와 비슷한 행성을 찾다가 행성 SA에 도착했다. 등에는 아주 오래되어 말라붙은 소금 결정체가 있다. 
R-II,rare,기록을 담당하는 손으로 보이는 기관이 발달되어 있다. 우주의 탄생과 죽음을 기록한 지도를 갖고 다닌다. 새로운 별자리의 탄생을 기록하기 위해 행성 SA에 찾아왔다. 지도에는 온통 읽을 수 없는 글자로 가득하다. 
나팔꽃호,rare,잔뜩 녹이 슬어 있고: 시각 능력이 현저히 떨어진다. 지구 21세기에 사용된 모델로: 지구인들을 찾는 듯 하다. 사람들을 찾아 행성 SA에 찾아왔다. 종착지는 원래 없었던 것 같다. 
