씬,캐릭터,대사,화면
1,주인공,캐시를 만나야겠어,망원경을 통해 본 밤하늘
2,//,지구가 멸망한 이유를 알아낸 것 같거든,망원경을 든 주인공의 손
3,//,친구들과 함께 하늘의 별을 바라보거나,캐릭터들과 주인공이 별을 보는 모습
4,//,친구들을 관찰하고 기록하거나,도감을 작성하는 주인공의 손
5,//,서로의 이름을 불러주는 건 ,캐릭터와 주인공의 반반 뒷모습
6,//,서로에게 특별한 존재가 되었다는 뜻이야,캐릭터와 주인공의 반반 뒷모습 + 그 사이로 별자리가 반짝이는 모습
7,//,무슨 뜻이냐고?,
8,//,적어도 이런 건 절대 명상 프로그램에서 알려줄 수 없다는 거야,고장난 명상 프로그램의 화면
9,//,어쩌면 캐시가 내 명상 프로그램을 망가뜨린 이유도,고장난 명상 프로그램의 화면 + 그 사이로 얼핏 보이는 캐시의 형체
10,//,이걸 알려주기 위함이 아니었을까,
11,//,나에게 이름을...,
12,//,불러주기 위함이...,검은 화면
13,의료로봇,SAN-800 복구 완료,하얀 화면
14,//,폐기물은 수집하여 폐기처분합니다,폐기물 처리 박스/지퍼백에 담긴 망원경
15,명상 프로그램,"SAN-800 님, 환영합니다!",명상 프로그램의 시작 화면 (1) 
16,//,그럼 부디 자아 실현을 멈추지 마세요!,명상 프로그램의 시작 화면 (2) 
17,//,... ... ,
18,주인공,명상 프로그램은 자아 실현을 도와주는 행성 SA의 독자적 프로그램이야,명상 프로그램 시작 화면
19,//,여기에 접속하면 스스로에 대해 끊임 없이 생각하게끔,
20,//,다양한 질문들과,당신은 지금 행복한가요?'라는 질문
21,//,그 질문들에 대한 다양한 대답들을 공유해줘. ,"다양한 사람들 (EX. 철학자, 옆집 주민 등)의 대답을 보여주는 화면"
22,//,지구가 멸망한 이유는,회색으로 죽어가는 지구의 모습
23,//,다른 존재에 관심이 많았기 때문이라는 소식을 듣고,
24,//,우리 행성 SA의 존재들은 모두 자기 자신에게만 집중해 ,명상 프로그램에 접속해 있는 여러 SA 행성의 존재들위에 명상 프로그램 로고가 떠있는 모습 
25,//,지구인처럼 되면 안 되잖아?,
26,//,그럼 너도 부디 자아 실현을 멈추지 말길 바라!,
